percentage error,actual data
1.55E-16,0.011189312
1,1.73E-10
1,0.011188641
0.533139666,1.22E-10
0.288990539,0.000363575
0.152474473,0.017054443
0.462354812,0.108205714
1.55E-16,0.011189312
0.048374298,7.15E-11
0.219582666,0.000213233
0.406754336,0.010002309
0.027876059,0.063460952
0,0.011189312
0.861499097,2.75E-11
0.078646942,0.000200877
0.113097483,0.011047284
0.055414632,0.04604
0,0.011189312
1.412371921,2.28E-11
0.074871556,0.000221699
0.168334837,0.013390682
0.061129725,0.045401905
0,0.011189312
0.851995116,5.07E-11
0.303793058,0.000369932
0.358218895,0.020343802
0.192848611,0.084784762
1.55E-16,0.011189312
0.895833337,2.40E-11
0.308124047,0.000149438
0.238199898,0.006596905
0.432946507,0.050899048
0.556759684,0.011189312
0.002517698,9.78E-13
1,1.46E-12
1,3.64E-12
0.927078517,0.002516393
0.514345266,2.23E-13
0.516629784,2.46E-13
0.649537864,2.61E-13
1,0.000336066
0.805955846,2.72E-13
1,1.77E-12
1,1.77E-09
0.805955518,2.72E-13
0.805963034,5.86E-14
0.997257808,2.48E-09
0.962367214,2.55E-11
1,0.00134546
1,0.000205778
1,0.000664907
0.77946327,1.06E-07
0.212013424,1.40E-09
0.547805257,1.47E-12
1,2.54E-13
1,2.54E-13
1,5.47E-14
0.161066642,0.049908916
0.03580022,8.50E-10
1.38E-16,1.47E-12
0.035939229,8.50E-10
0.752674198,1.47E-12
0.043230722,1
0.977173503,0.160457166
0.020404225,8.50E-10
0.977173503,1.08E-13
0.334762662,0.049908916
0.146809967,8.50E-10
1.38E-16,1.47E-12
1,0.007586155
0.629227808,8.50E-10
1,7.34E-14
0.455359505,3.63E-09
0.94955151,5.65E-12
0.380144808,1.13E-09
0,1.47E-12
0.998126126,9.16E-11
0.999568958,1.91E-08
0.000258308,0.000751672
0.000258304,0.000751637
0.000258305,0.000751647
39.8835806,6.01E-10
0.000258304,0.000751622
0.158710022,1.91E-08
0.029603927,1.95E-05
0.029623987,1.95E-05
0.029634879,1.95E-05
0.451847097,6.01E-10
0.029617569,1.95E-05
0,1.91E-08
0.192224058,0.000208503
0.192225845,0.000208494
0.192225137,0.000208501
0.520225699,6.01E-10
0.192213804,0.000208491
0,1.91E-08
0.073836735,0.000164058
0.073846519,0.000164054
0.073815075,0.000164054
0.073828784,0.00016405
0.110141593,3.12E-05
0.11015233,3.12E-05
0.110142495,3.12E-05
0.110132249,3.12E-05
1.73E-16,1.91E-08
0.416799012,0.000295428
0.416809373,0.000295422
0.416813263,0.000295431
0.416808221,0.000295421
0.323549556,5.03E-05
0.323551655,5.03E-05
0.323565132,5.03E-05
0.323551894,5.03E-05
0.416419913,1.91E-08
0.056522296,3.24E-05
0.0565332,3.24E-05
0.056519196,3.24E-05
0.056520063,3.24E-05
1,5.78E-12
6.42E-06,4.73E-09
7.04E-06,4.73E-09
0.114846629,9.99E-09
0.148602922,0.019862258
0.366236664,1.25E-08
0.392662764,0.024827822
0.101682109,7.52E-09
0.188790035,0.014962647
0.295081275,2.50E-09
0.732851638,0.004965691
0.002260548,1.37E-12
0.575077036,8.63E-13
1,1.89E-05
0.06103193,1.00E-10
0.071349062,2.37E-05
0.071325977,2.37E-05
0.071361984,2.37E-05
0.071373108,2.37E-05
0.47604372,5.26E-11
0.009579664,1.04E-05
0.009578271,1.04E-05
0.0095598,1.04E-05
0.009592175,1.04E-05
0.085959378,1.00E-10
0.19750198,2.71E-05
0.197509202,2.71E-05
0.197496211,2.71E-05
0.197494288,2.71E-05
0.278829104,5.26E-11
0.127586682,1.19E-05
0.127604817,1.19E-05
0.127602118,1.19E-05
0.127610324,1.19E-05
0.619110324,1.49E-11
0.020807941,1.30E-05
0.020810313,1.30E-05
0.020808882,1.30E-05
0.020809851,1.30E-05
0.075801753,1.16E-11
0.141910356,6.61E-06
0.141888868,6.61E-06
0.141904055,6.61E-06
0.141898301,6.61E-06
0.123179349,1.49E-11
0.029399004,1.39E-05
0.029425795,1.39E-05
0.029408619,1.39E-05
0.029418759,1.39E-05
0.019850797,1.16E-11
0.075624483,7.07E-06
0.075670725,7.07E-06
0.075659038,7.07E-06
0.075698408,7.07E-06
0.608090609,1.22E-11
0.043713678,9.84E-06
0.043718305,9.84E-06
0.043715876,9.84E-06
0.043739444,9.84E-06
0.094272107,1.00E-10
0.069149791,2.05E-05
0.069118412,2.05E-05
0.069160834,2.05E-05
0.069176197,2.05E-05
0.272383282,5.26E-11
0.250194483,9.01E-06
0.250259665,9.01E-06
0.250228713,9.01E-06
0.250278889,9.01E-06
0.040371889,1.49E-11
0.153671393,1.48E-05
0.153644653,1.48E-05
0.153660755,1.48E-05
0.1536558,1.48E-05
0.027725113,1.16E-11
0.020029007,7.55E-06
0.020014397,7.55E-06
0.020004605,7.55E-06
0.019987692,7.55E-06
0.570690916,9.04E-12
1,0.000122951
0,2.00E-08
0,0.001802408
0,2.95E-10
0,2.00E-08
0,0.001802408
1.75E-16,2.95E-10
2.99E-07,9.84E-13
0,2.00E-08
0,0.001802408
0,2.95E-10
0,2.00E-08
1.20E-16,0.001802408
1.75E-16,2.95E-10
2.99E-07,9.84E-13
1,5.31E-11
0.3036617,1.13E-09
0.104943623,1.47E-12
0.651325176,1.13E-09
1.38E-16,1.47E-12
0.994100736,1.09E-09
0.778740669,4.40E-12
0.158608974,1.37E-12
0.779514458,4.12E-06
0.516563469,1.11E-13
1,5.03E-06
0.516576383,1.11E-13
0.516575845,2.40E-14
0.849368096,1.40E-09
1.38E-16,1.47E-12
1,0.007564081
0.036793789,2.91E-06
0.168070382,2.29E-06
0.501179168,4.94E-06
0.168045618,2.29E-06
0.168068405,2.29E-06
0.220265835,8.71E-06
0.168061314,2.29E-06
0.788327903,0.678773444
0.474100688,1.40E-09
1.38E-16,1.47E-12
0.001289106,8.50E-10
1,8.69E-14
0.38182175,2.45E-12
0.881741548,1.70E-09
0.381820461,2.45E-12
0.612329058,5.28E-13
9.77E-06,0.100006659
9.77E-06,0.899966667
9.77E-06,0.00821239
9.77E-06,0.090733353
9.77E-06,3.16E-08
0.99999731,1.16E-11
0.746237442,0.92984023
0.750095853,3.27E-10
0.612970291,5.59E-13
1,0.390989382
0.418279792,1.13E-09
1.38E-16,1.47E-12
0.051477549,5.90E-10
0.037324276,8.50E-10
0.966189573,1.50E-12
0.039117702,1.91E-07
0.039136017,1.91E-07
0.039107515,1.91E-07
0.039121479,1.91E-07
0.037585466,1.29E-05
0.037569449,1.29E-05
0.03756136,1.29E-05
0.037549484,1.29E-05
0.198532693,7.84E-08
0.198581765,7.84E-08
0.198545181,7.84E-08
0.198544851,7.84E-08
0.187000826,2.14E-07
0.18699847,2.14E-07
0.187011982,2.14E-07
0.18699858,2.14E-07
0.164507126,1.45E-05
0.164496893,1.45E-05
0.164502714,1.45E-05
0.164497563,1.45E-05
2.210441888,3.22E-08
2.210435607,3.22E-08
2.210419763,3.22E-08
2.210433151,3.22E-08
0.943271693,2.18E-06
0.943269794,2.18E-06
0.943271375,2.18E-06
0.943271864,2.18E-06
1.55E-10,0.0003
1.55E-10,0.000402299
1.55E-10,1
1.55E-10,4.76E-10
1.55E-10,1.64E-07
0.066189953,2.56E-06
0.140859366,1.88E-11
1,0.800064005
1,3.54E-10
0.000496095,0.157008636
0.000496095,0.808766667
1,0.013498777
0.000484813,3.31E-08
0.999921135,1.20E-11
1,0.00106888
0.000602664,1.74E-08
0.999964819,1.06E-11
1,6.59E-15
14.54576721,2.57E-09
118.1292252,3.35E-10
0.001168448,9.32E-09
0.99987324,1.54E-11
0.708484316,1.13E-09
1.38E-16,1.47E-12
0.150302795,1.13E-09
0.727050143,1.47E-12
0.902745113,0.049908916
0.190696207,8.50E-10
0.107128428,1.47E-12
0.107139546,8.50E-10
0,1.47E-12
1,1
1.67E-16,1.21E-12
1.22E-16,8.50E-10
1.67E-16,1.21E-12
1.94E-16,2.60E-13
0.522598329,3.07E-09
0.315967812,3.91E-12
0.65486723,1.06E-08
0.7067365,2.13E-12
0.00044181,0.086589855
0.00044181,0.111861504
0.000350225,5.52E-09
0.999891563,9.15E-12
0.121628089,0.049908916
0,8.50E-10
0,1.47E-12
0.030245871,8.50E-10
0,1.47E-12
3.72E-05,6.16E-12
3.72E-05,6.16E-12
2.36E-05,1.33E-12
0.367293008,0.100985399
6.05E-05,6.16E-12
6.05E-05,6.16E-12
3.83E-05,1.33E-12
0.579875675,0.063903474
0.380734589,1.34E-11
1,0.002266024
0.380765,1.34E-11
0.122731032,2.89E-12
0.002191584,3.89E-12
0.411008656,1.44E-12
7.91E-06,1.43E-13
0.067024246,6.42E-09
0.11617287,6.42E-09
0.17240992,6.42E-09
2.170645562,4.54E-10
0.999649404,6.42E-06
0.238227602,4.54E-10
0.007205295,1.40E-09
0.98739913,1.47E-12
0.140299164,2.36E-11
0.140271885,2.36E-11
0.312065974,5.09E-12
1,1
1.71E-16,3.78E-11
9.90E-06,4.68E-08
6.36E-05,3.50E-11
0.000338376,6.70E-08
0,3.78E-11
0.000138275,4.68E-08
1.85E-16,3.50E-11
2.40E-06,4.68E-07
0,3.78E-11
2.96E-05,4.68E-08
1.71E-16,3.78E-11
1,3.29E-06
3.95E-05,4.68E-08
1.71E-16,3.78E-11
2.96E-05,4.68E-08
0,3.78E-11
2.95E-05,4.68E-08
1.71E-16,3.78E-11
2.96E-05,4.68E-08
0,3.78E-11
2.89E-05,4.68E-08
0,3.78E-11
3.95E-05,4.68E-08
0,3.78E-11
2.89E-05,4.68E-08
0.08,3.50E-11
0.000217341,4.68E-08
0,3.50E-11
5.67E-08,4.68E-07
0,3.50E-11
0.011398699,6.70E-07
8.64E-05,3.50E-11
0.000299455,6.70E-08
0,3.78E-11
9.88E-06,4.68E-08
0,3.50E-11
2.57E-08,4.68E-07
1.71E-16,3.78E-11
9.88E-06,4.68E-08
1,6.61E-06
0,3.50E-11
6.17E-08,4.68E-07
0,3.50E-11
1.48E-05,4.68E-07
0,3.78E-11
3.95E-05,4.68E-08
8.06E-05,3.50E-11
0.000276802,6.70E-08
0,3.78E-11
0.000108705,4.68E-08
0,3.50E-11
1.60E-06,4.68E-07
1.85E-16,3.50E-11
0.005125078,6.70E-07
0,3.78E-11
9.88E-06,4.68E-08
0,3.50E-11
0.005875221,6.70E-07
1.85E-16,3.50E-11
1.47E-05,4.68E-07
1.71E-16,3.78E-11
9.88E-06,4.68E-08
0,3.50E-11
0.003904295,6.70E-07
0,3.78E-11
9.88E-06,4.68E-08
0,3.78E-11
9.88E-06,4.68E-08
1.71E-16,3.78E-11
9.88E-06,4.68E-08
0,3.78E-11
0.000138279,4.68E-08
0.000218618,3.78E-11
0.023304135,4.63E-08
0.000196773,3.78E-11
0.026537487,4.51E-08
4.941277984,3.87E-12
1,6.72E-06
0.369796946,4.67E-07
0.041251471,3.50E-11
0.001044496,4.67E-07
0.002517111,3.78E-11
2.39E-05,4.67E-07
5.52E-05,3.78E-11
6.30E-07,4.67E-07
6169.700234,6.47E-12
1,2.60E-06
0.076538476,4.26E-09
0.04394558,4.26E-09
0.219666622,0.003012463
0.219667149,4.03E-09
0.103980331,0.002656825
0.103978825,3.56E-09
0.007401596,0.002196588
0.007404458,2.94E-09
0.011152244,0.002280267
0.01115274,3.05E-09
0.06780924,0.002112908
0.067813411,2.83E-09
0.019945548,0.002175668
0.019940809,2.91E-09
0.002991991,1.80E-10
0.019219262,1.51E-10
0.002057639,2.40E-10
0.366390954,5.15E-10
0.00397918,2.12E-10
0.002506967,2.38E-10
0.006406566,1.24E-10
0.018055597,1.15E-10
0.022443369,3.25E-10
1.95514881,3.94E-10
0.028153831,1.15E-10
0.073881317,7.73E-10
0.002745835,2.09E-10
0.15967095,3.71E-10
0.016054499,2.44E-10
0.012265663,2.34E-10
0.003235925,1.82E-10
0.00723816,2.18E-10
0.001391556,2.38E-10
0.002930573,1.79E-10
0.020546337,1.76E-10
0.045744947,2.78E-10
0.046997166,2.85E-10
0.006169685,2.28E-10
0.010579085,1.26E-10
0.006959273,2.09E-10
0.023368539,1.86E-10
0.006626518,2.24E-10
0.551307753,1.35E-09
0.063648569,3.41E-10
0.071344277,1.56E-10
0.007465309,2.42E-10
0.11889456,7.95E-10
0.002755392,1.80E-10
0.053802007,1.51E-10
0.002271473,2.38E-10
0.021537575,1.24E-10
0.016258453,1.15E-10
0.026929759,1.15E-10
0.076947839,7.71E-10
0.006819162,2.09E-10
0.196251808,3.71E-10
0.009015077,2.44E-10
0.013188455,2.34E-10
0.010388005,1.82E-10
0.000996521,2.38E-10
0.003017971,1.79E-10
0.005911509,1.76E-10
0.013039058,2.46E-10
0.023237776,1.69E-10
0.026414936,1.66E-10
0.139200178,2.85E-10
0.0438672,2.54E-10
0.018886553,2.28E-10
0.022465126,1.86E-10
0.022758928,2.24E-10
0.01082257,1.98E-10
0.085281302,5.57E-10
0.546331366,1.35E-09
0.007381915,2.13E-10
0.106984879,3.41E-10
0.051726565,1.56E-10
0.002971964,2.42E-10
0.124676102,7.95E-10
11.470682,2.88E-10
0.001939163,1.80E-10
0.013013239,1.96E-10
0.002062732,2.40E-10
0.112591957,5.15E-10
0.014423086,2.12E-10
0.002546954,2.38E-10
0.02099848,1.15E-10
0.042799498,4.26E-10
0.031675051,1.15E-10
0.069475418,7.73E-10
0.004121286,2.09E-10
0.091741234,3.71E-10
0.008141328,2.44E-10
0.021746551,2.34E-10
0.008697479,1.82E-10
0.004438279,2.07E-10
0.027578598,2.18E-10
0.001435556,2.38E-10
0.001513494,1.79E-10
0.015609978,1.76E-10
0.002207934,1.79E-10
0.012569746,2.46E-10
0.041051009,1.66E-10
0.060229205,3.06E-10
0.030952289,2.85E-10
0.043046477,2.54E-10
0.029978177,1.26E-10
0.03483469,1.86E-10
0.007988125,2.78E-10
0.004758443,1.98E-10
0.118337872,5.57E-10
0.525059675,1.35E-09
0.08069396,3.41E-10
0.113587175,1.56E-10
0.002371453,2.42E-10
0.112934384,7.95E-10
0.009575853,2.73E-10
24.60372993,3.69E-10
1,1
1,5.38E-13
1,0.121299399
5.44E-10,4.34E-09
1.01E-14,7.52E-05
9.92E-15,7.52E-05
9.92E-15,7.52E-05
9.92E-15,7.52E-05
5.39E-10,4.34E-09
9.74E-15,7.52E-05
9.92E-15,7.52E-05
9.74E-15,7.52E-05
9.92E-15,7.52E-05
5.84E-10,4.34E-09
1.05E-14,7.52E-05
1.01E-14,7.52E-05
1.03E-14,7.52E-05
1.03E-14,7.52E-05
0.480054013,0.322881125
0.480073806,0.322884786
0.480044659,0.322880389
0.480064268,0.322872505
0.488301116,4.29E-08
0.244267167,2.20E-08
0.201869375,0.000163751
0.123275265,0.004416054
0.376199523,1.63E-07
0.554125392,1.10E-05
0.153923524,2.06E-09
0.703044085,4.00E-05
1.054214435,8.14E-13
4.682534505,2.14E-09
0.001232147,3.74E-05
0.077515868,9.43E-07
0.084928832,1.08E-07
0.236979423,0.003832391
0.355025226,5.60E-07
1.516763369,2.08E-06
0.374905115,2.33E-08
0.202374667,8.16E-08
0.265419556,1.30E-07
0.816688224,0.002984164
0.333740383,7.48E-10
0.727387731,2.11E-11
0.402169563,1.44E-06
0.075066828,5.82E-09
0.019512793,9.63E-07
4.080981051,1.03E-05
0.14198323,2.13E-08
0.085640576,9.46E-05
0.501228458,0.000561225
0.563835411,0.000113781
0.101088945,1.24E-07
0.52983891,0.00087325
0.818381327,0.001159961
0.35197411,0.000330609
0.639533976,1.61E-06
0.402157171,1.44E-06
0.332674595,2.74E-06
0.35251454,0.002227311
0.035140003,1.42E-07
0.384389861,0.001180577
0.449699576,0.0012288
0.22618833,9.17E-08
0.412793994,3.52E-09
0.192212273,3.37E-07
0.664727508,0.00408081
0.81667059,0.002984314
22.15299506,3.67E-06
0.153912623,4.72E-09
0.336927429,1.48E-07
0.204237252,1.16E-06
1.516223429,2.01E-05
0.26928589,9.11E-07
0.192264349,3.37E-07
0.664718715,0.004080808
0.677648105,0.000685307
0.056295558,2.65E-06
0.04510158,2.82E-05
0.484849956,0.000500783
0.119330432,4.54E-09
0.390848335,0.003838167
0.233014944,2.55E-07
0.118728154,1.83E-11
0.402172901,1.44E-06
0.546532178,8.21E-05
0.40217804,1.44E-06
0.6642083,1.50E-05
0.065596037,0.003142335
0.664717362,0.004080744
0.293606517,3.38E-07
0.335591073,6.53E-08
0.313336209,0.002320733
1.516287048,2.01E-05
0.111407459,1.81E-08
0.664717362,0.004080744
0.348753288,0.002982127
0.245777715,7.88E-11
1.516221615,2.01E-05
1.14470253,4.70E-08
0.486133214,3.80E-08
0.81671958,0.002984108
0.327331681,3.13E-08
0.19239437,4.21E-10
0,2.75E-13
0.070090843,2.75E-13
0.059496533,2.75E-13
0.039787584,2.75E-13
0.033643447,2.75E-13
1,2.92E-10
0,2.75E-13
0.237388246,0.543307087
0.031781253,8.50E-10
0.008408282,3.47E-13
1,0.752207998
0.601953429,1.40E-09
0,1.47E-12
0.010566988,0.043919846
2.43E-16,8.50E-10
0.011256332,1.58E-12
0.756862249,0.049908916
0.503553861,8.50E-10
1.38E-16,1.47E-12
0.011969893,8.50E-10
0.982925782,1.47E-12
0.029694759,8.50E-10
0.197701278,1.47E-12
0.090122932,8.50E-10
0.157660351,1.47E-12
0.532978461,4.22E-11
0.581876939,1.45E-12
0.800352454,1.40E-09
0,1.47E-12
0.490800377,1.40E-09
0,1.47E-12
1,3.14E-11
1,2.26E-13
6.44E-07,1.25E-08
0.166667775,1.50E-08
1,6.58E-13
1,8.20E-06
0.630584436,8.53E-10
1,1.10E-13
0.010458208,7.23E-13
